Target,x1,x4,x6,x7,x8,x9,x10,x11,x14,x15,x16,x17,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
1.58,59.068,24,0.21379018,-0.369920588,0.369920588,0.21379018,9.222222222,-0.333333333,2.803039488,29.01955001,3.577350269,2.48559856,1.732050808,0.99279928,0.99279928,0.61065041,0.61065041,0,0,0,0,-0.53,3.245112498,3.47,0.8748583,1.156009256,24.60560594,5.733667477,0,0,5.907179729,0,0,4.794537184
1.34,46.073,20,-0.001724682,-0.271721759,0.271721759,0.001724682,4.597222222,1.652777778,1.632993162,2.754887502,2.707106781,2.077350269,1.414213562,0.788675135,0.788675135,0.288675135,0.288675135,0,0,0,0,-0.08,2.754887502,2.92,1.92,1.92,19.59913993,0,0,0,0,0,0,11.26846167
1.22,60.052,24,0.299684553,-0.481433475,0.481433475,0.299684553,9,-0.833333333,2.803039488,27.01955001,3.577350269,2.355461886,1.732050808,0.927730943,0.927730943,0.519018036,0.519018036,0,0,0,0,-0.53,3.245112498,3.47,0.8748583,1.156009256,24.05994899,5.106527395,0,0,0,5.969305288,0,4.794537184
1.15,71.123,30,-0.004844704,-0.316730921,0.316730921,0.004844704,3.222222222,1.25,2.083333333,15.21928095,3.535533906,3.328427125,2.5,2.207106781,2.207106781,1.457106781,1.457106781,0.957106781,0.957106781,0.625,0.625,-0.04,22.88643539,3.161612903,1.410312175,0.618363684,32.3781084,5.316788604,0,0,0,0,0,0
1.12,76.055,30,0.335390909,-0.34989128,0.34989128,0.335390909,9.229166667,-0.939814815,2.847378923,42.91260938,4.28445705,2.432812155,2.27005561,0.966406078,0.966406078,0.476054169,0.476054169,0.110193269,0.110193269,0,0,-0.77,9.651484454,4.23,1.539597523,3.23,28.53879826,5.733667477,0,0,0,0,6.031114512,5.207253025
1.12,92.094,38,0.100047026,-0.393593316,0.393593316,0.100047026,8.166666667,-0.953703704,2.754184786,25.21928095,4.991563832,3.333204618,2.808060412,1.707151003,1.707151003,1.018971878,1.018971878,0.421498206,0.421498206,0.057735027,0.057735027,-0.12,19.80026906,5.88,3.084918033,2.137731959,35.85183651,15.31958218,6.103966388,0,0,0,0,0
1.11,87.122,36,0.218425131,-0.349064265,0.349064265,0.218425131,10.06944444,0.092592593,3.257586161,58.56842503,5.154700538,4.355461886,2.64273441,1.822158134,1.822158134,1.413445227,1.413445227,0.629787781,0.629787781,0,0,-0.53,13.60964047,5.47,1.798837034,1.758184438,37.75543314,4.899909731,0,0,5.907179729,0,0,4.794537184
1.1,80.09,30,0.049568626,-0.159175832,0.159175832,0.049568626,3.534722222,1.638888889,3,77.47078006,4.242640687,3.203828268,3,1.716397779,1.716397779,0.913982684,0.913982684,0.483243704,0.483243704,0.253340871,0.253340871,-0.92,34.39946188,3.276850394,1.49980284,0.516356873,35.83915265,0,0,0,0,0,0,0
1.1,80.09,30,0.114757412,-0.24483191,0.24483191,0.114757412,3.673611111,1.5,3,77.47078006,4.242640687,3.203828268,3,1.699462226,1.699462226,0.904204938,0.904204938,0.47759852,0.47759852,0.253340871,0.253340871,-0.92,34.39946188,3.276850394,1.49980284,0.516356873,35.87069908,0,6.327320075,0,0,0,0,0
1.09,182.172,74,0.110578607,-0.393579135,0.393579135,0.110578607,8.95662037,-1.669305556,3.985164451,104.6059378,9.723614639,6.406896212,5.54011122,3.481747672,3.481747672,2.481028635,2.481028635,1.512478162,1.512478162,0.671208827,0.671208827,-0.24,358.7532296,11.76,5.41346133,3.015404674,69.32936411,30.63916437,24.41586555,0,0,0,0,0
